benchmark_id,Model,ROC,precision at rank n,execution time
wine_benchmark_0056,LODA,0.4823,0.3623,0.037
wine_benchmark_0057,KNN,0.5341,0.3946,0.4134
wine_benchmark_0057,LOF,0.5444,0.4016,0.3153
wine_benchmark_0057,PCA,0.5221,0.3908,0.006
wine_benchmark_0057,LODA,0.4432,0.3165,0.049
wine_benchmark_0058,KNN,0.5396,0.4004,0.4159
wine_benchmark_0058,LOF,0.5435,0.384,0.3273
wine_benchmark_0058,PCA,0.5224,0.3975,0.006
wine_benchmark_0058,LODA,0.483,0.3525,0.044
wine_benchmark_0059,KNN,0.5305,0.3974,0.3994
wine_benchmark_0059,LOF,0.5392,0.4046,0.2983
wine_benchmark_0059,PCA,0.5198,0.4039,0.006
wine_benchmark_0059,LODA,0.5169,0.3988,0.037
wine_benchmark_0060,KNN,0.5332,0.3973,0.4184
wine_benchmark_0060,LOF,0.5453,0.4062,0.3218
wine_benchmark_0060,PCA,0.5151,0.3803,0.005
wine_benchmark_0060,LODA,0.5683,0.4136,0.039
wine_benchmark_0061,KNN,0.5537,0.4247,0.4074
wine_benchmark_0061,LOF,0.5674,0.4156,0.3083
wine_benchmark_0061,PCA,0.5477,0.4298,0.005
wine_benchmark_0061,LODA,0.6281,0.4799,0.037
wine_benchmark_0062,KNN,0.5523,0.407,0.4244
wine_benchmark_0062,LOF,0.5592,0.4054,0.3253
wine_benchmark_0062,PCA,0.5538,0.4274,0.006
wine_benchmark_0062,LODA,0.5898,0.4576,0.041
wine_benchmark_0063,KNN,0.553,0.4267,0.4244
wine_benchmark_0063,LOF,0.5627,0.4342,0.3263
wine_benchmark_0063,PCA,0.5489,0.4375,0.006
wine_benchmark_0063,LODA,0.5691,0.4433,0.039
wine_benchmark_0064,KNN,0.5643,0.4171,0.4315
wine_benchmark_0064,LOF,0.5676,0.424,0.3358
wine_benchmark_0064,PCA,0.5528,0.4133,0.005
wine_benchmark_0064,LODA,0.5855,0.4332,0.038
wine_benchmark_0065,KNN,0.5603,0.4118,0.4439
wine_benchmark_0065,LOF,0.5603,0.4125,0.3623
wine_benchmark_0065,PCA,0.5557,0.4057,0.006
wine_benchmark_0065,LODA,0.5734,0.4261,0.036
wine_benchmark_0066,KNN,0.5518,0.4276,0.4364
wine_benchmark_0066,LOF,0.5541,0.4226,0.3373
wine_benchmark_0066,PCA,0.5475,0.4247,0.006
wine_benchmark_0066,LODA,0.5285,0.3944,0.045
wine_benchmark_0067,KNN,0.557,0.4338,0.4479
