benchmark_id,Model,ROC,precision at rank n,execution time
imgseg_benchmark_0033,LODA,0.5004,0.4689,0.023
imgseg_benchmark_0034,KNN,0.5013,0.3891,0.1036
imgseg_benchmark_0034,LOF,0.5003,0.4038,0.053
imgseg_benchmark_0034,PCA,0.6675,0.546,0.003
imgseg_benchmark_0034,LODA,0.5377,0.4393,0.025
imgseg_benchmark_0035,KNN,0.5075,0.415,0.1001
imgseg_benchmark_0035,LOF,0.543,0.4717,0.0561
imgseg_benchmark_0035,PCA,0.6551,0.5283,0.01
imgseg_benchmark_0035,LODA,0.4737,0.3887,0.02
imgseg_benchmark_0036,KNN,0.4843,0.4115,0.0941
imgseg_benchmark_0036,LOF,0.5166,0.4654,0.047
imgseg_benchmark_0036,PCA,0.6538,0.5558,0.003
imgseg_benchmark_0036,LODA,0.6648,0.6077,0.02
imgseg_benchmark_0037,KNN,0.4898,0.417,0.0971
imgseg_benchmark_0037,LOF,0.5076,0.4663,0.05
imgseg_benchmark_0037,PCA,0.6696,0.5665,0.002
imgseg_benchmark_0037,LODA,0.6129,0.5183,0.023
imgseg_benchmark_0038,KNN,0.4834,0.4048,0.1091
imgseg_benchmark_0038,LOF,0.4706,0.4187,0.0661
imgseg_benchmark_0038,PCA,0.6607,0.5476,0.002
imgseg_benchmark_0038,LODA,0.6129,0.5218,0.026
imgseg_benchmark_0039,KNN,0.4729,0.4148,0.1001
imgseg_benchmark_0039,LOF,0.4936,0.4432,0.0601
imgseg_benchmark_0039,PCA,0.6444,0.553,0.003
imgseg_benchmark_0039,LODA,0.614,0.5739,0.022
imgseg_benchmark_0040,KNN,0.4795,0.4127,0.0941
imgseg_benchmark_0040,LOF,0.4727,0.4165,0.048
imgseg_benchmark_0040,PCA,0.6564,0.5509,0.003
imgseg_benchmark_0040,LODA,0.5503,0.5278,0.022
imgseg_benchmark_0041,KNN,0.4641,0.4151,0.1021
imgseg_benchmark_0041,LOF,0.4584,0.4244,0.052
imgseg_benchmark_0041,PCA,0.6322,0.5498,0.003
imgseg_benchmark_0041,LODA,0.5197,0.5018,0.02
imgseg_benchmark_0042,KNN,0.4914,0.3908,0.1031
imgseg_benchmark_0042,LOF,0.4781,0.4013,0.054
imgseg_benchmark_0042,PCA,0.6389,0.521,0.003
imgseg_benchmark_0042,LODA,0.5078,0.3298,0.02
imgseg_benchmark_0043,KNN,0.4628,0.4015,0.1071
imgseg_benchmark_0043,LOF,0.4794,0.4315,0.053
imgseg_benchmark_0043,PCA,0.6446,0.5553,0.003
imgseg_benchmark_0043,LODA,0.5296,0.4991,0.02
imgseg_benchmark_0044,KNN,0.4752,0.3838,0.1011
imgseg_benchmark_0044,LOF,0.4934,0.4294,0.053
imgseg_benchmark_0044,PCA,0.6324,0.5262,0.003
imgseg_benchmark_0044,LODA,0.4773,0.4234,0.021
imgseg_benchmark_0045,KNN,0.4907,0.4176,0.1001
imgseg_benchmark_0045,LOF,0.4877,0.4333,0.049
